Currency,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days
USD,Buying,29.75500,30.10500,30.08300,30.03800,30.00500,29.96600,29.91800,29.86700,29.82300,Selling,30.42500,30.20500,30.19600,30.15000,30.11900,30.07800,30.03700,29.99700,29.96500,
HKD,Buying,3.71000,3.83600,3.83300,3.82700,3.82100,3.81600,3.80900,3.80300,3.79700,Selling,3.91400,3.89600,3.89400,3.89000,3.88400,3.87900,3.87400,3.86900,3.86400,
GBP,Buying,38.08000,39.08000,39.07500,39.06600,39.04600,39.02600,38.99700,38.96700,38.93800,Selling,40.20000,39.50000,39.50400,39.51200,39.49200,39.46800,39.45300,39.43700,39.42100,
AUD,Buying,20.39000,20.66000,20.65400,20.64200,20.62800,20.61600,20.60100,20.58400,20.56700,Selling,21.17000,20.89000,20.88800,20.88500,20.87300,20.85900,20.85100,20.84200,20.83000,
CAD,Buying,22.46000,22.85000,22.83700,22.81000,22.78500,22.75700,22.72300,22.68800,22.65400,Selling,23.37000,23.07000,23.06300,23.04900,23.02600,22.99600,22.96900,22.94200,22.91600,
SGD,Buying,21.66000,22.15000,22.13900,22.11700,22.09200,22.06800,22.04300,22.01800,21.99300,Selling,22.57000,22.33000,22.32400,22.31200,22.28900,22.26800,22.25200,22.23500,22.21900,
CHF,Buying,29.99000,30.65000,30.66000,30.68000,30.70200,30.72500,30.74300,30.76100,30.77900,Selling,31.19000,30.94000,30.96000,30.99900,31.02400,31.04300,31.07400,31.10500,31.13600,
JPY,Buying,0.26670,0.27400,0.27400,0.27400,0.27410,0.27410,0.27420,0.27420,0.27420,Selling,0.27950,0.27800,0.27800,0.27810,0.27840,0.27840,0.27860,0.27870,0.27890,
ZAR,Buying,0.00000,2.07000,2.06500,2.05500,2.04400,2.03300,2.02100,2.01000,1.99800,Selling,0.00000,2.15000,2.14700,2.14100,2.12900,2.11800,2.10700,2.09700,2.08600,
SEK,Buying,2.82000,3.16000,3.16000,3.16100,3.16100,3.16100,3.16100,3.16000,3.15900,Selling,3.34000,3.26000,3.26100,3.26400,3.26500,3.26500,3.26500,3.26600,3.26600,
NZD,Buying,19.41000,19.79000,19.78100,19.76200,19.74200,19.72500,19.70300,19.68000,19.65800,Selling,20.26000,19.99000,19.98800,19.98400,19.96600,19.94600,19.93200,19.91700,19.90200,
THB,Buying,0.87500,0.98360,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,1.06300,1.02360,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,Buying,0.51940,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.65240,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,Buying,0.00183,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00253,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,Buying,32.71000,33.33000,33.33000,33.32900,33.35400,33.36800,33.37600,33.38500,33.39300,Selling,34.05000,33.73000,33.73700,33.75200,33.78600,33.80500,33.83000,33.85500,33.88000,
KRW,Buying,0.02421,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.02811,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,Buying,0.00093,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,Buying,6.16800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,7.81200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,Buying,4.20400,4.27600,4.27050,4.25940,4.25080,4.24070,4.22930,4.21790,4.20660,Selling,4.36600,4.32600,4.32240,4.31520,4.30800,4.29980,4.29220,4.28460,4.27700,
